round_epochs,val_loss,val_accuracy,loss,accuracy,dropout,final_activation,loss_function,lr,num_Nodes,regularizer
201,0.1524767130613327,0.2693965435028076,0.15168605744838715,0.2750786,1,softmax,mean_squared_error,0.03,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
623,0.1437317430973053,0.37033045291900635,0.13971230387687683,0.41005838,1,softmax,mean_squared_error,0.03,18,None
203,0.15247546136379242,0.2693965435028076,0.15168584883213043,0.2750786,1,softmax,mean_squared_error,0.03,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
601,0.14414700865745544,0.37033045291900635,0.13962510228157043,0.4118545,1,softmax,mean_squared_error,0.03,21,None
202,0.15248027443885803,0.2690373659133911,0.15169087052345276,0.27355185,1,softmax,mean_squared_error,0.03,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
726,0.1439650058746338,0.3635057508945465,0.1405467540025711,0.4035923,1,softmax,mean_squared_error,0.06,9,None
170,0.15249003469944,0.2693965435028076,0.15169033408164978,0.2750786,1,softmax,mean_squared_error,0.06,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
401,0.14419831335544586,0.36889368295669556,0.14015136659145355,0.40996855,1,softmax,mean_squared_error,0.06,12,None
201,0.15249386429786682,0.2693965435028076,0.1516880840063095,0.2750786,1,softmax,mean_squared_error,0.06,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
381,0.14414866268634796,0.3645833432674408,0.14052341878414154,0.4028738,1,softmax,mean_squared_error,0.06,15,None
202,0.1524803638458252,0.2693965435028076,0.15168865025043488,0.2750786,1,softmax,mean_squared_error,0.06,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
321,0.14502951502799988,0.363864928483963,0.14006756246089935,0.40475976,1,softmax,mean_squared_error,0.06,18,None
184,0.15260447561740875,0.2693965435028076,0.15175531804561615,0.27355185,1,softmax,mean_squared_error,0.06,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
355,0.14463944733142853,0.3624281585216522,0.14030583202838898,0.4054782,1,softmax,mean_squared_error,0.06,21,None
173,0.15248015522956848,0.2693965435028076,0.15168523788452148,0.2750786,1,softmax,mean_squared_error,0.06,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
302,0.14484712481498718,0.35991379618644714,0.14082197844982147,0.40700495,1,softmax,mean_squared_error,0.1,9,None
202,0.1524810791015625,0.2693965435028076,0.15168516337871552,0.2750786,1,softmax,mean_squared_error,0.1,9,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
440,0.1445588767528534,0.37212643027305603,0.13965265452861786,0.41140547,1,softmax,mean_squared_error,0.1,12,None
202,0.1524810642004013,0.2693965435028076,0.15168538689613342,0.2750786,1,softmax,mean_squared_error,0.1,12,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
496,0.14546313881874084,0.3753592073917389,0.1384459137916565,0.42164347,1,softmax,mean_squared_error,0.1,15,None
202,0.1524810940027237,0.2693965435028076,0.15168538689613342,0.2750786,1,softmax,mean_squared_error,0.1,15,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
314,0.14458508789539337,0.36997127532958984,0.13987451791763306,0.40502918,1,softmax,mean_squared_error,0.1,18,None
202,0.15248113870620728,0.2693965435028076,0.15168537199497223,0.2750786,1,softmax,mean_squared_error,0.1,18,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
278,0.14563725888729095,0.36135056614875793,0.14015673100948334,0.40691513,1,softmax,mean_squared_error,0.1,21,None
202,0.15248119831085205,0.2693965435028076,0.15168552100658417,0.2750786,1,softmax,mean_squared_error,0.1,21,<keras.regularizers.L1L2 object at 0x00000139910F6DC8>
